Arcturus Fm	298.9000	280.0000	280.0000	272.3000
Ardath Shale	47.8000	41.3000	41.3000	38.0000
Areoma Sandstone	10.9200	6.5000	10.9200	6.5000
argillaceous limestone	93.9000	91.0000	88.0000	86.3000
argillaceous limestone	50.6000	49.7000	49.7000	47.3000
argillaceous limestone	43.4000	41.3000	43.4000	41.3000
argillaceous limestone	88.0000	86.3000	86.3000	85.0000
argillaceous limestone	93.9000	91.0000	93.9000	91.0000
argillaceous limestone	88.0000	86.3000	88.0000	86.3000
argillaceous limestone	56.2000	55.0000	50.6000	49.7000
argillaceous limestone	69.2000	66.6000	66.6000	65.0000
argillaceous limestone	49.7000	47.3000	47.3000	43.4000
argillaceous limestone	49.7000	47.3000	49.7000	47.3000
Argillite at Lee Canyon	358.9000	348.0000	348.0000	340.0000
Argillite Mbr of Martinsburg Fm	455.5000	454.5000	453.5000	452.0000
Argo Salt	208.5000	201.3000	208.5000	201.3000
Arikaree Fm	23.0300	20.4400	23.0300	20.4400
Arikaree Gp	28.1000	23.0300	20.4400	15.9700
Arikaree Gp	23.0300	20.4400	15.9700	13.8200
Ariki Fm	6.5000	5.2800	6.5000	5.2800
Ariki Fm	6.5000	5.2800	5.2800	3.6000
Ariki Fm	5.2800	3.6000	5.2800	3.6000
Arkadelphia Fm	72.1000	66.0000	72.1000	66.0000
Arkansas Novaculite	419.2000	410.8000	407.6000	393.3000
Arkansas Novaculite	419.2000	410.8000	348.0000	340.0000
Arkansas Novaculite	438.5000	433.4000	348.0000	340.0000
Arkona	387.7000	382.7000	387.7000	382.7000
Arkona Fm	387.7000	382.7000	387.7000	382.7000
Arkona Fm	393.3000	387.7000	387.7000	382.7000
Arkose Ridge Fm	66.0000	61.6000	59.2000	56.0000
Arline Fm	464.0000	458.4000	464.0000	458.4000
Armas Fm	5.3330	3.6000	3.6000	2.5880
Armuchee Chert	419.2000	410.8000	393.3000	387.7000
Armuelles Fm	1.8060	0.7810	1.8060	0.7810
Arnica	407.6000	393.3000	393.3000	387.7000
Arnica	393.3000	387.7000	393.3000	387.7000
Arnica	407.6000	393.3000	407.6000	393.3000
Arnica Fm	407.6000	393.3000	407.6000	393.3000
Arnica Fm	407.6000	393.3000	393.3000	387.7000
Arnica Fm	393.3000	387.7000	393.3000	387.7000
Arnold River	485.4000	477.7000	454.5000	453.5000
Arnott Volcanics	65.0000	55.5000	65.0000	55.5000
Aromas Sand	2.5880	0.0117	2.5880	0.0117
Aroostook River Fm	450.0000	445.2000	440.8000	438.5000
Arrow Canyon Limestone	382.7000	379.0000	379.0000	372.2000
Arrowhead Limestone Mbr	340.0000	333.0000	340.0000	333.0000
Arroyo Blanco	5.3330	3.6000	3.6000	2.5880
Arroyo Blanco	7.2460	5.3330	5.3330	3.6000
Arroyo Blanco Fm	47.8000	41.3000	38.0000	33.9000
Arroyo Fm	280.0000	272.3000	280.0000	272.3000
Arroyo Hondo Fm	56.0000	47.8000	56.0000	47.8000
Arroyo Hondo Shale Mbr	56.0000	47.8000	56.0000	47.8000
Arroyo Seco	3.6000	2.5880	3.6000	2.5880
Arroyo Seco Fm	3.6000	2.5880	3.6000	2.5880
Artemisma Fm	163.5000	157.3000	139.8000	132.9000
Arthurs Seat Fm	89.8000	86.3000	89.8000	86.3000
Artist Drive Fm	11.6200	7.2460	7.2460	5.3330
